VALUE,LCZ1,latitude,longitude
"21.67000000,""9"",6.77,3.69"
nan,,6.38,3.70
"21.97000000,""11"",6.77,3.65"
nan,,6.38,3.69
"22.17000000,""11"",6.77,3.64"
nan,,6.38,3.72
"21.69000000,""12"",6.77,3.67"
nan,,6.38,3.71
"21.85000000,""11"",6.77,3.66"
"21.03000000,""11"",6.77,3.72"
"21.17000000,""11"",6.77,3.71"
"20.89000000,""11"",6.77,3.73"
nan,,6.38,3.60
"23.85000000,""6"",6.77,3.54"
nan,,6.38,3.59
"23.79000000,""6"",6.77,3.53"
nan,,6.38,3.61
"22.81000000,""11"",6.77,3.56"
nan,,6.38,3.60
"23.09000000,""9"",6.77,3.55"
nan,,6.38,3.56
"23.71000000,""9"",6.77,3.51"
nan,,6.38,3.55
"23.05000000,""6"",6.77,3.50"
nan,,6.38,3.58
"23.71000000,""6"",6.77,3.52"
nan,,6.38,3.57
"23.73000000,""6"",6.77,3.51"
nan,,6.38,3.67
"22.09000000,""11"",6.77,3.61"
nan,,6.38,3.66
"22.09000000,""11"",6.77,3.60"
nan,,6.38,3.69
"22.27000000,""11"",6.77,3.63"
nan,,6.38,3.68
"22.17000000,""11"",6.77,3.62"
nan,,6.38,3.63
"22.37000000,""11"",6.77,3.58"
nan,,6.38,3.62
"22.43000000,""11"",6.77,3.57"
nan,,6.38,3.65
"22.11000000,""11"",6.77,3.60"
nan,,6.38,3.64
"22.33000000,""11"",6.77,3.59"
nan,,6.38,3.45
"23.09000000,""9"",6.77,3.40"
nan,,6.38,3.44
"22.49000000,""11"",6.77,3.39"
nan,,6.38,3.47
"23.89000000,""6"",6.77,3.42"
nan,,6.38,3.46
"23.99000000,""6"",6.77,3.41"
nan,,6.38,3.42
"22.57000000,""11"",6.77,3.36"
nan,,6.38,3.41
"22.67000000,""11"",6.77,3.35"
nan,,6.38,3.43
"21.85000000,""11"",6.77,3.38"
nan,,6.38,3.42
"22.41000000,""11"",6.77,3.37"
nan,,6.38,3.52
"23.03000000,""9"",6.77,3.47"
nan,,6.38,3.51
"22.89000000,""6"",6.77,3.46"
nan,,6.38,3.54
"22.93000000,""9"",6.77,3.49"
nan,,6.38,3.53
"23.19000000,""9"",6.77,3.48"
nan,,6.38,3.49
"23.65000000,""6"",6.77,3.43"
nan,,6.38,3.48
"23.83000000,""6"",6.77,3.42"
nan,,6.38,3.51
"22.47000000,""14"",6.77,3.45"
nan,,6.38,3.50
"22.85000000,""11"",6.77,3.44"
nan,,6.38,3.31
"24.55000000,""6"",6.77,3.25"
nan,,6.38,3.30
"24.49000000,""6"",6.77,3.24"
nan,,6.38,3.33
"24.57000000,""6"",6.77,3.27"
nan,,6.38,3.32
"24.55000000,""6"",6.77,3.26"
nan,,6.38,3.27
"24.31000000,""6"",6.77,3.22"
nan,,6.38,3.26
"24.19000000,""6"",6.77,3.21"
nan,,6.38,3.29
"24.45000000,""6"",6.77,3.24"
nan,,6.38,3.28
"24.51000000,""6"",6.77,3.23"
nan,,6.38,3.38
"23.11000000,""12"",6.77,3.33"
nan,,6.38,3.37
"23.83000000,""11"",6.77,3.32"
nan,,6.38,3.40
"22.91000000,""9"",6.77,3.34"
nan,,6.38,3.39
"22.99000000,""9"",6.77,3.33"
nan,,6.38,3.34
"24.45000000,""6"",6.77,3.29"
nan,,6.38,3.33
"24.53000000,""6"",6.77,3.28"
nan,,6.38,3.36
"23.85000000,""9"",6.77,3.31"
nan,,6.38,3.35
"23.89000000,""11"",6.77,3.30"
nan,,6.38,3.16
"22.25000000,""12"",6.77,3.11"
nan,,6.38,3.15
"22.33000000,""14"",6.77,3.10"
nan,,6.38,3.18
"22.55000000,""12"",6.77,3.13"
nan,,6.38,3.17
"22.23000000,""14"",6.77,3.12"
nan,,6.38,3.13
"22.17000000,""14"",6.77,3.07"
nan,,6.38,3.12
"22.07000000,""14"",6.77,3.06"
nan,,6.38,3.15
"22.39000000,""14"",6.77,3.09"
nan,,6.38,3.14
"22.37000000,""14"",6.77,3.08"
nan,,6.38,3.24
"23.95000000,""14"",6.77,3.18"
nan,,6.38,3.23
"23.15000000,""14"",6.77,3.17"
nan,,6.38,3.25
"23.93000000,""6"",6.77,3.20"
nan,,6.38,3.24
"23.95000000,""6"",6.77,3.19"
nan,,6.38,3.20
"23.33000000,""14"",6.77,3.15"
nan,,6.38,3.19
"22.95000000,""9"",6.77,3.14"
nan,,6.38,3.22
"22.95000000,""12"",6.77,3.16"
nan,,6.38,3.21
"22.81000000,""14"",6.77,3.15"
nan,,6.38,3.02
"23.37000000,""11"",6.77,2.97"
nan,,6.38,3.01
"23.25000000,""12"",6.77,2.96"
nan,,6.38,3.04
"23.05000000,""12"",6.77,2.98"
nan,,6.38,3.03
"23.07000000,""12"",6.77,2.97"
nan,,6.38,2.98
"22.71000000,""12"",6.77,2.93"
nan,,6.38,2.97
"22.57000000,""11"",6.77,2.92"
nan,,6.38,3.00
"23.09000000,""12"",6.77,2.95"
nan,,6.38,2.99
"22.95000000,""11"",6.77,2.94"
nan,,6.38,3.09
"22.17000000,""12"",6.77,3.04"
nan,,6.38,3.08
"22.29000000,""12"",6.77,3.03"
nan,,6.38,3.11
"22.01000000,""12"",6.77,3.06"
nan,,6.38,3.10
"22.09000000,""12"",6.77,3.05"
nan,,6.38,3.06
"23.15000000,""9"",6.77,3.00"
nan,,6.38,3.05
"23.07000000,""12"",6.77,2.99"
nan,,6.38,3.07
"22.69000000,""14"",6.77,3.02"
nan,,6.38,3.06
"22.97000000,""12"",6.77,3.01"
nan,,6.38,2.89
nan,,6.38,2.95
"22.11000000,""12"",6.77,2.89"
nan,,6.38,2.94
nan,,6.38,2.97
"22.41000000,""12"",6.77,2.91"
nan,,6.38,2.96
"21.91000000,""14"",6.77,2.90"
nan,,6.38,2.91
nan,,6.38,2.90
nan,,6.38,2.93
nan,,6.38,2.92
"21.67000000,""11"",6.75,3.72"
"21.67000000,""11"",6.75,3.71"
"21.63000000,""9"",6.75,3.73"
"21.97000000,""11"",6.75,3.69"
"22.29000000,""11"",6.75,3.68"
"21.67000000,""11"",6.75,3.70"
"21.89000000,""11"",6.75,3.69"
"22.49000000,""11"",6.75,3.58"
"22.89000000,""9"",6.75,3.57"
"22.27000000,""11"",6.75,3.60"
"22.37000000,""11"",6.75,3.59"
"24.15000000,""9"",6.75,3.54"
"24.53000000,""6"",6.75,3.53"
"23.35000000,""9"",6.75,3.56"
"23.75000000,""6"",6.75,3.55"
"22.35000000,""11"",6.75,3.65"
"22.35000000,""11"",6.75,3.64"
"22.41000000,""9"",6.75,3.67"
"22.35000000,""11"",6.75,3.66"
"22.11000000,""11"",6.75,3.61"
"22.23000000,""11"",6.75,3.60"
"22.33000000,""11"",6.75,3.63"
"21.97000000,""11"",6.75,3.62"
"22.67000000,""11"",6.75,3.43"
"24.13000000,""6"",6.75,3.42"
"22.59000000,""9"",6.75,3.45"
"22.57000000,""11"",6.75,3.44"
"23.91000000,""6"",6.75,3.40"
"23.41000000,""9"",6.75,3.39"
"24.17000000,""7"",6.75,3.42"
"24.13000000,""6"",6.75,3.41"
"23.17000000,""11"",6.75,3.51"
"22.97000000,""12"",6.75,3.50"
"24.25000000,""6"",6.75,3.52"
"23.75000000,""11"",6.75,3.51"
"22.39000000,""9"",6.75,3.47"
"22.43000000,""9"",6.75,3.46"
"22.73000000,""9"",6.75,3.49"
"22.43000000,""9"",6.75,3.48"
"24.55000000,""6"",6.75,3.29"
"24.73000000,""9"",6.75,3.28"
"24.73000000,""6"",6.75,3.31"
"24.71000000,""6"",6.75,3.30"
"25.15000000,""6"",6.75,3.25"
"24.79000000,""3"",6.75,3.24"
"24.83000000,""6"",6.75,3.27"
"25.05000000,""6"",6.75,3.26"
"22.87000000,""11"",6.75,3.36"
"23.17000000,""11"",6.75,3.35"
"22.31000000,""9"",6.75,3.38"
"22.47000000,""11"",6.75,3.37"
"24.29000000,""6"",6.75,3.33"
"24.65000000,""6"",6.75,3.32"
"23.39000000,""9"",6.75,3.34"
"24.07000000,""9"",6.75,3.33"
"22.93000000,""12"",6.75,3.15"
"22.35000000,""12"",6.75,3.14"
"23.19000000,""12"",6.75,3.16"
"23.01000000,""9"",6.75,3.15"
"22.23000000,""12"",6.75,3.11"
"22.07000000,""12"",6.75,3.10"
"22.11000000,""12"",6.75,3.13"
"21.95000000,""12"",6.75,3.12"
"24.57000000,""6"",6.75,3.22"
"24.59000000,""6"",6.75,3.21"
"24.73000000,""6"",6.75,3.24"
"24.65000000,""6"",6.75,3.23"
"24.17000000,""6"",6.75,3.18"
"23.73000000,""6"",6.75,3.17"
"24.59000000,""6"",6.75,3.20"
"24.39000000,""6"",6.75,3.19"
"22.63000000,""11"",6.75,3.00"
"22.69000000,""12"",6.75,2.99"
"22.67000000,""12"",6.75,3.02"
"22.63000000,""12"",6.75,3.01"
"23.03000000,""12"",6.75,2.97"
"23.13000000,""12"",6.75,2.96"
"22.57000000,""12"",6.75,2.98"
"22.75000000,""12"",6.75,2.97"
"22.31000000,""14"",6.75,3.07"
"22.21000000,""12"",6.75,3.06"
"22.31000000,""14"",6.75,3.09"
"22.45000000,""14"",6.75,3.08"
"22.45000000,""12"",6.75,3.04"
"22.47000000,""12"",6.75,3.03"
"22.21000000,""12"",6.75,3.06"
"22.47000000,""11"",6.75,3.05"
"23.43000000,""12"",6.75,2.93"
"23.13000000,""12"",6.75,2.92"
"22.91000000,""12"",6.75,2.95"
"23.03000000,""12"",6.75,2.94"
"22.69000000,""12"",6.75,2.89"
"22.65000000,""11"",6.75,2.91"
"22.57000000,""11"",6.75,2.90"
"21.47000000,""11"",6.76,3.70"
"21.63000000,""11"",6.76,3.69"
"21.23000000,""11"",6.76,3.72"
"21.41000000,""9"",6.76,3.71"
nan,,6.37,3.72
"22.23000000,""11"",6.76,3.67"
nan,,6.37,3.71
"22.19000000,""14"",6.76,3.66"
"21.83000000,""11"",6.76,3.69"
nan,,6.37,3.73
"21.99000000,""11"",6.76,3.68"
"20.91000000,""11"",6.76,3.73"
nan,,6.37,3.61
"23.15000000,""9"",6.76,3.56"
nan,,6.37,3.60
"23.37000000,""9"",6.76,3.55"
nan,,6.37,3.63
"22.53000000,""11"",6.76,3.58"
nan,,6.37,3.62
"22.61000000,""11"",6.76,3.57"
nan,,6.37,3.58
"23.77000000,""6"",6.76,3.52"
nan,,6.37,3.57
"22.97000000,""9"",6.76,3.51"
nan,,6.37,3.60
"23.89000000,""9"",6.76,3.54"
nan,,6.37,3.59
"23.91000000,""6"",6.76,3.53"
nan,,6.37,3.69
"22.35000000,""11"",6.76,3.63"
nan,,6.37,3.68
"22.37000000,""11"",6.76,3.62"
nan,,6.37,3.70
"22.19000000,""11"",6.76,3.65"
nan,,6.37,3.69
"22.29000000,""11"",6.76,3.64"
nan,,6.37,3.65
"22.41000000,""11"",6.76,3.60"
nan,,6.37,3.64
"22.43000000,""11"",6.76,3.59"
nan,,6.37,3.67
"22.37000000,""11"",6.76,3.61"
nan,,6.37,3.66
"22.35000000,""11"",6.76,3.60"
nan,,6.37,3.47
"24.27000000,""6"",6.76,3.42"
nan,,6.37,3.46
"24.07000000,""6"",6.76,3.41"
nan,,6.37,3.49
"22.83000000,""9"",6.76,3.43"
nan,,6.37,3.48
"24.31000000,""9"",6.76,3.42"
nan,,6.37,3.43
"21.97000000,""11"",6.76,3.38"
nan,,6.37,3.42
"22.31000000,""11"",6.76,3.37"
nan,,6.37,3.45
"23.43000000,""6"",6.76,3.40"
nan,,6.37,3.44
"22.85000000,""9"",6.76,3.39"
nan,,6.37,3.54
"22.83000000,""9"",6.76,3.49"
nan,,6.37,3.53
"22.83000000,""9"",6.76,3.48"
nan,,6.37,3.56
"22.91000000,""9"",6.76,3.51"
nan,,6.37,3.55
"22.89000000,""12"",6.76,3.50"
nan,,6.37,3.51
"22.53000000,""9"",6.76,3.45"
nan,,6.37,3.50
"22.69000000,""9"",6.76,3.44"
nan,,6.37,3.52
"22.85000000,""9"",6.76,3.47"
nan,,6.37,3.51
"22.85000000,""14"",6.76,3.46"
"24.77000000,""6"",6.76,3.27"
"25.25000000,""6"",6.76,3.26"
"24.39000000,""6"",6.76,3.29"
"24.59000000,""9"",6.76,3.28"
"24.63000000,""6"",6.76,3.24"
"24.59000000,""6"",6.76,3.23"
"25.11000000,""3"",6.76,3.25"
"24.69000000,""6"",6.76,3.24"
"23.07000000,""9"",6.76,3.34"
"23.63000000,""9"",6.76,3.33"
"22.59000000,""11"",6.76,3.36"
"22.79000000,""11"",6.76,3.35"
"24.29000000,""6"",6.76,3.31"
"24.23000000,""6"",6.76,3.30"
"23.83000000,""9"",6.76,3.33"
"24.35000000,""9"",6.76,3.32"
"21.57000000,""11"",6.74,3.73"
"21.85000000,""11"",6.74,3.70"
"22.15000000,""11"",6.74,3.69"
"21.81000000,""11"",6.74,3.72"
"21.83000000,""11"",6.74,3.71"
"22.15000000,""11"",6.74,3.60"
"22.33000000,""11"",6.74,3.59"
"22.37000000,""11"",6.74,3.61"
"22.31000000,""11"",6.74,3.60"
"23.23000000,""9"",6.74,3.56"
"23.69000000,""9"",6.74,3.55"
"22.47000000,""9"",6.74,3.58"
"22.87000000,""9"",6.74,3.57"
"22.77000000,""9"",6.74,3.67"
"22.85000000,""11"",6.74,3.66"
"22.29000000,""11"",6.74,3.69"
"22.63000000,""11"",6.74,3.68"
"22.19000000,""11"",6.74,3.63"
"22.05000000,""11"",6.74,3.62"
"22.25000000,""11"",6.74,3.65"
"22.21000000,""11"",6.74,3.64"
"22.57000000,""9"",6.74,3.45"
"22.51000000,""11"",6.74,3.44"
"22.51000000,""9"",6.74,3.47"
"22.53000000,""9"",6.74,3.46"
"24.11000000,""6"",6.74,3.42"
"24.19000000,""6"",6.74,3.41"
"22.79000000,""6"",6.74,3.43"
"23.91000000,""3"",6.74,3.42"
"24.07000000,""6"",6.74,3.52"
"23.79000000,""6"",6.74,3.51"
"24.11000000,""9"",6.74,3.54"
"24.27000000,""6"",6.74,3.53"
"22.87000000,""11"",6.74,3.49"
"22.61000000,""9"",6.74,3.48"
"23.31000000,""9"",6.74,3.51"
"22.97000000,""9"",6.74,3.50"
"24.35000000,""6"",6.74,3.31"
"24.55000000,""6"",6.74,3.30"
"24.35000000,""6"",6.74,3.33"
"24.45000000,""6"",6.74,3.32"
"24.89000000,""6"",6.74,3.27"
"24.95000000,""3"",6.74,3.26"
"24.81000000,""6"",6.74,3.29"
"24.87000000,""6"",6.74,3.28"
"22.57000000,""9"",6.74,3.38"
"22.35000000,""11"",6.74,3.37"
"24.01000000,""6"",6.74,3.40"
"23.39000000,""6"",6.74,3.39"
"23.65000000,""9"",6.74,3.34"
"24.25000000,""9"",6.74,3.33"
"22.61000000,""11"",6.74,3.36"
"23.29000000,""13"",6.74,3.35"
"23.47000000,""9"",6.74,3.16"
"23.27000000,""14"",6.74,3.15"
"24.29000000,""6"",6.74,3.18"
"24.21000000,""6"",6.74,3.17"
"22.67000000,""11"",6.74,3.13"
"22.39000000,""12"",6.74,3.12"
"23.07000000,""12"",6.74,3.15"
"22.91000000,""12"",6.74,3.14"
"24.83000000,""6"",6.74,3.24"
"24.77000000,""6"",6.74,3.23"
"25.13000000,""6"",6.74,3.25"
"24.83000000,""6"",6.74,3.24"
"24.43000000,""6"",6.74,3.20"
"24.35000000,""6"",6.74,3.19"
"24.25000000,""6"",6.74,3.22"
"24.35000000,""6"",6.74,3.21"
"22.69000000,""9"",6.74,3.02"
"22.57000000,""12"",6.74,3.01"
"22.27000000,""12"",6.74,3.04"
"22.43000000,""12"",6.74,3.03"
"22.91000000,""12"",6.74,2.98"
"23.01000000,""12"",6.74,2.97"
"22.61000000,""9"",6.74,3.00"
"22.65000000,""14"",6.74,2.99"
"22.23000000,""12"",6.74,3.09"
"22.23000000,""12"",6.74,3.08"
"22.31000000,""12"",6.74,3.11"
"22.29000000,""12"",6.74,3.10"
"22.31000000,""12"",6.74,3.06"
"22.41000000,""12"",6.74,3.05"
"22.37000000,""12"",6.74,3.07"
"22.29000000,""12"",6.74,3.06"
"22.67000000,""14"",6.74,2.89"
"22.39000000,""12"",6.74,2.95"
"22.63000000,""12"",6.74,2.94"
"22.75000000,""12"",6.74,2.97"
"22.63000000,""12"",6.74,2.96"
"22.23000000,""9"",6.74,2.91"
"22.43000000,""12"",6.74,2.90"
