code;mouvt;mois;prod;poids;mod;immat;droit;cfakg;ori;lon_ori;lat_ori;dis_km_ori;dis_mn_ori;des;lon_des;lat_des;dis_km_des;dis_mn_des
1;entrée;2014-04-01;banane plantain;29700;camion;iv;1000;0;daloa;-6,4478;6,8892;187;242;mali;-7,473;11,4071;477;669
2;entrée;2014-04-01;banane plantain;0;camion;iv;1000;0;bonon;-6,05;6,9333;150;197;mali;-7,473;11,4071;477;669
3;entrée;2014-04-01;banane plantain;0;camion;iv;1000;0;daloa;-6,4478;6,8892;187;242;mali;-7,473;11,4071;477;669
4;entrée;2014-04-01;banane plantain;0;camion;iv;1000;0;bonon;-6,05;6,9333;150;197;mali;-7,473;11,4071;477;669
5;entrée;2014-04-01;banane plantain;33320;camion;md;1000;0;daloa;-6,4478;6,8892;187;242;mali;-7,473;11,4071;477;669
6;entrée;2014-04-01;mais grain;41340;remorque;iv;5000;2;katiola;-5,1018;8,1401;38;51;mgb;-5,0248;7,6971;0;0
7;entrée;2014-04-01;bété bété;4560;camion;iv;1000;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
8;entrée;2014-04-01;bété bété;20420;camion;iv;1000;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
9;entrée;2014-04-01;bété bété;11940;camion;iv;1000;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
10;entrée;2014-04-01;arachide decortiquée;1000;moto 3 roues;iv;200;2;bouaké;-5,028;7,6845;3;2;mgb;-5,0248;7,6971;0;0
11;entrée;2014-04-01;arachide decortiquée;1240;voiture de transport;iv;0;2;béoumi;-5,5791;7,6714;60;64;mgb;-5,0248;7,6971;0;0
12;entrée;2014-04-01;divers;6220;gros camion;iv;0;0;dabakala;-4,4272;8,3624;132;138;mgb;-5,0248;7,6971;0;0
13;entrée;2014-04-01;riz paddy iguapé;3800;pick-up;iv;500;2;bouaké;-5,028;7,6845;3;2;mgb;-5,0248;7,6971;0;0
14;entrée;2014-04-01;mais grain;460;moto 3 roues;iv;200;2;bouaké;-5,028;7,6845;3;2;mgb;-5,0248;7,6971;0;0
15;entrée;2014-04-01;oignons;17840;gros camion;ng;2000;0;niger;2,1323;13,5119;987;1324;mgb;-5,0248;7,6971;0;0
16;entrée;2014-04-01;bété bété;7840;camion;iv;1000;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
17;entrée;2014-04-01;oignons;25160;gros camion;iv;2000;2;niger;2,1323;13,5119;987;1324;mgb;-5,0248;7,6971;0;0
18;entrée;2014-04-01;riz blanchi importé;39220;gros camion;iv;2000;2;divo;-5,3546;5,8403;219;243;mgb;-5,0248;7,6971;0;0
19;entrée;2014-04-01;bété bété;8580;camion;iv;1000;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
20;entrée;2014-04-01;bété bété;18100;camion;iv;1000;2;satama;-4,3595;7,9043;127;86;mgb;-5,0248;7,6971;0;0
21;entrée;2014-04-01;oignons;20620;gros camion;ng;2000;2;niger;2,1323;13,5119;987;1324;mgb;-5,0248;7,6971;0;0
22;entrée;2014-04-01;arachide decortiquée;360;voiture de transport;iv;0;2;sakassou;-5,2914;7,4555;47;44;mgb;-5,0248;7,6971;0;0
23;entrée;2014-04-01;arachide decortiquée;280;voiture de transport;iv;0;2;sakassou;-5,2914;7,4555;47;44;mgb;-5,0248;7,6971;0;0
24;sortie;2014-06-01;banane plantain;29340;gros camion;iv;2000;2;daloa;-6,4478;6,8892;187;242;mali;-7,473;11,4071;477;669
25;sortie;2014-06-01;banane plantain;19960;gros camion;iv;2000;0;daloa;-6,4478;6,8892;187;242;mali;-7,473;11,4071;477;669
26;entrée;2014-07-01;assawa;4100;pick-up;iv;500;2;tiébissou;-5,2243;7,1593;48;66;mgb;-5,0248;7,6971;0;0
27;entrée;2014-07-01;koudjan;6980;pick-up;iv;500;2;didiévi;-4,893;7,1256;87;75;mgb;-5,0248;7,6971;0;0
28;sortie;2014-07-01;mais grain;4960;pick-up;iv;500;2;mgb;-5,0248;7,6971;0;0;bouaké;-5,028;7,6845;3;2
29;entrée;2014-07-01;oignons;14640;gros camion;ng;2000;2;niger;2,1323;13,5119;987;1324;mgb;-5,0248;7,6971;0;0
30;entrée;2014-07-01;riz paddy iguapé;11820;pick-up;iv;500;2;sakassou;-5,2914;7,4555;47;44;mgb;-5,0248;7,6971;0;0
31;entrée;2014-07-01;kponan;4460;pick-up;iv;500;2;kouassikro;-4,7085;7,0329;124;100;mgb;-5,0248;7,6971;0;0
32;entrée;2014-07-01;bété bété;11500;camion;iv;1000;2;kong;-4,6119;9,1503;225;241;mgb;-5,0248;7,6971;0;0
